continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,East Timor,2022-08-31,1341298,23160.0,0.0,137.0,0.0
Asia,East Timor,2022-09-01,1341298,23160.0,0.0,137.0,0.0
Asia,East Timor,2022-09-01,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-02,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-02,1341298,23160.0,0.0,137.0,0.0
Asia,East Timor,2022-09-03,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-03,1341298,23160.0,0.0,137.0,0.0
Asia,East Timor,2022-09-04,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-04,1341298,23185.0,25.0,138.0,1.0
Asia,East Timor,2022-09-05,1341298,23185.0,0.0,138.0,0.0
Asia,East Timor,2022-09-05,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-06,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-06,1341298,23185.0,0.0,138.0,0.0
Asia,East Timor,2022-09-07,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-07,1341298,23185.0,0.0,138.0,0.0
Asia,East Timor,2022-09-08,1341298,23185.0,0.0,138.0,0.0
Asia,East Timor,2022-09-08,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-09,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-09,1341298,23185.0,0.0,138.0,0.0
Asia,East Timor,2022-09-10,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-10,1341298,23185.0,0.0,138.0,0.0
Asia,East Timor,2022-09-11,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-11,1341298,23218.0,33.0,138.0,0.0
Asia,East Timor,2022-09-12,1341298,23218.0,0.0,138.0,0.0
Asia,East Timor,2022-09-12,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-13,1341298,23218.0,0.0,138.0,0.0
Asia,East Timor,2022-09-13,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-14,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-14,1341298,23218.0,0.0,138.0,0.0
Asia,East Timor,2022-09-15,1341298,23218.0,0.0,138.0,0.0
Asia,East Timor,2022-09-15,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-16,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-16,1341298,23218.0,0.0,138.0,0.0
Asia,East Timor,2022-09-17,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-17,1341298,23218.0,0.0,138.0,0.0
Asia,East Timor,2022-09-18,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-18,1341298,23239.0,21.0,138.0,0.0
Asia,East Timor,2022-09-19,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-19,1341298,23239.0,0.0,138.0,0.0
Asia,East Timor,2022-09-20,1341298,23239.0,0.0,138.0,0.0
Asia,East Timor,2022-09-20,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-21,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-21,1341298,23239.0,0.0,138.0,0.0
Asia,East Timor,2022-09-22,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-22,1341298,23239.0,0.0,138.0,0.0
Asia,East Timor,2022-09-23,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-23,1341298,23239.0,0.0,138.0,0.0
Asia,East Timor,2022-09-24,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-24,1341298,23239.0,0.0,138.0,0.0
Asia,East Timor,2022-09-25,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-25,1341298,23253.0,14.0,138.0,0.0
Asia,East Timor,2022-09-26,1341298,23253.0,0.0,138.0,0.0
Asia,East Timor,2022-09-26,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-27,1341298,23253.0,0.0,138.0,0.0
Asia,East Timor,2022-09-27,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-28,1341298,23253.0,0.0,138.0,0.0
Asia,East Timor,2022-09-28,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-29,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-09-29,1341298,23253.0,0.0,138.0,0.0
Asia,East Timor,2022-09-30,1341298,23253.0,0.0,138.0,0.0
Asia,East Timor,2022-09-30,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-01,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-01,1341298,23253.0,0.0,138.0,0.0
Asia,East Timor,2022-10-02,1341298,23257.0,4.0,138.0,0.0
Asia,East Timor,2022-10-02,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-03,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-03,1341298,23257.0,0.0,138.0,0.0
Asia,East Timor,2022-10-04,1341298,23257.0,0.0,138.0,0.0
Asia,East Timor,2022-10-04,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-05,1341298,23257.0,0.0,138.0,0.0
Asia,East Timor,2022-10-05,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-06,1341298,23257.0,0.0,138.0,0.0
Asia,East Timor,2022-10-06,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-07,1341298,23257.0,0.0,138.0,0.0
Asia,East Timor,2022-10-07,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-08,1341298,23257.0,0.0,138.0,0.0
Asia,East Timor,2022-10-08,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-09,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-09,1341298,23271.0,14.0,138.0,0.0
Asia,East Timor,2022-10-10,1341298,23271.0,0.0,138.0,0.0
Asia,East Timor,2022-10-10,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-11,1341298,23271.0,0.0,138.0,0.0
Asia,East Timor,2022-10-11,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-12,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-12,1341298,23271.0,0.0,138.0,0.0
Asia,East Timor,2022-10-13,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-13,1341298,23271.0,0.0,138.0,0.0
Asia,East Timor,2022-10-14,1341298,23271.0,0.0,138.0,0.0
Asia,East Timor,2022-10-14,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-15,1341298,23271.0,0.0,138.0,0.0
Asia,East Timor,2022-10-15,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-16,1341298,23287.0,16.0,138.0,0.0
Asia,East Timor,2022-10-16,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-17,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-17,1341298,23287.0,0.0,138.0,0.0
Asia,East Timor,2022-10-18,1341298,23287.0,0.0,138.0,0.0
Asia,East Timor,2022-10-18,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-19,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-19,1341298,23287.0,0.0,138.0,0.0
Asia,East Timor,2022-10-20,1341298,23287.0,0.0,138.0,0.0
Asia,East Timor,2022-10-20,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-21,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-21,1341298,23287.0,0.0,138.0,0.0
Asia,East Timor,2022-10-22,1341298,23287.0,0.0,138.0,0.0
Asia,East Timor,2022-10-22,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-23,1341298,23299.0,12.0,138.0,0.0
Asia,East Timor,2022-10-23,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-24,1341298,23299.0,0.0,138.0,0.0
Asia,East Timor,2022-10-24,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-25,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-25,1341298,23299.0,0.0,138.0,0.0
Asia,East Timor,2022-10-26,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-26,1341298,23299.0,0.0,138.0,0.0
Asia,East Timor,2022-10-27,1341298,23299.0,0.0,138.0,0.0
Asia,East Timor,2022-10-27,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-28,1341298,23299.0,0.0,138.0,0.0
Asia,East Timor,2022-10-28,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-29,1341298,23299.0,0.0,138.0,0.0
Asia,East Timor,2022-10-29,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-30,1341298,23301.0,2.0,138.0,0.0
Asia,East Timor,2022-10-30,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-10-31,1341298,23301.0,0.0,138.0,0.0
Asia,East Timor,2022-10-31,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-01,1341298,23301.0,0.0,138.0,0.0
Asia,East Timor,2022-11-01,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-02,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-02,1341298,23301.0,0.0,138.0,0.0
Asia,East Timor,2022-11-03,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-03,1341298,23301.0,0.0,138.0,0.0
Asia,East Timor,2022-11-04,1341298,23301.0,0.0,138.0,0.0
Asia,East Timor,2022-11-04,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-05,1341298,23301.0,0.0,138.0,0.0
Asia,East Timor,2022-11-05,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-06,1341298,23305.0,4.0,138.0,0.0
Asia,East Timor,2022-11-06,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-07,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-07,1341298,23305.0,0.0,138.0,0.0
Asia,East Timor,2022-11-08,1341298,23305.0,0.0,138.0,0.0
Asia,East Timor,2022-11-08,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-09,1341298,23305.0,0.0,138.0,0.0
Asia,East Timor,2022-11-09,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-10,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-10,1341298,23305.0,0.0,138.0,0.0
Asia,East Timor,2022-11-11,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-11,1341298,23305.0,0.0,138.0,0.0
Asia,East Timor,2022-11-12,1341298,23305.0,0.0,138.0,0.0
Asia,East Timor,2022-11-12,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-13,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-13,1341298,23314.0,9.0,138.0,0.0
Asia,East Timor,2022-11-14,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-14,1341298,23314.0,0.0,138.0,0.0
Asia,East Timor,2022-11-15,1341298,23314.0,0.0,138.0,0.0
Asia,East Timor,2022-11-15,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-16,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-16,1341298,23314.0,0.0,138.0,0.0
Asia,East Timor,2022-11-17,1341298,23314.0,0.0,138.0,0.0
Asia,East Timor,2022-11-17,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-18,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-18,1341298,23314.0,0.0,138.0,0.0
Asia,East Timor,2022-11-19,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-19,1341298,23314.0,0.0,138.0,0.0
Asia,East Timor,2022-11-20,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-20,1341298,23327.0,13.0,138.0,0.0
Asia,East Timor,2022-11-21,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-21,1341298,23327.0,0.0,138.0,0.0
Asia,East Timor,2022-11-22,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-22,1341298,23327.0,0.0,138.0,0.0
Asia,East Timor,2022-11-23,1341298,23327.0,0.0,138.0,0.0
Asia,East Timor,2022-11-23,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-24,1341298,23327.0,0.0,138.0,0.0
Asia,East Timor,2022-11-24,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-25,1341298,23327.0,0.0,138.0,0.0
Asia,East Timor,2022-11-25,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-26,1341298,23327.0,0.0,138.0,0.0
Asia,East Timor,2022-11-26,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-27,1341298,23338.0,11.0,138.0,0.0
Asia,East Timor,2022-11-27,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-28,1341298,23338.0,0.0,138.0,0.0
Asia,East Timor,2022-11-28,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-29,1341298,23338.0,0.0,138.0,0.0
Asia,East Timor,2022-11-29,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-30,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-11-30,1341298,23338.0,0.0,138.0,0.0
Asia,East Timor,2022-12-01,1341298,23338.0,0.0,138.0,0.0
Asia,East Timor,2022-12-01,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-02,1341298,23338.0,0.0,138.0,0.0
Asia,East Timor,2022-12-02,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-03,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-03,1341298,23338.0,0.0,138.0,0.0
Asia,East Timor,2022-12-04,1341298,23355.0,17.0,138.0,0.0
Asia,East Timor,2022-12-04,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-05,1341298,23355.0,0.0,138.0,0.0
Asia,East Timor,2022-12-05,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-06,1341298,23355.0,0.0,138.0,0.0
Asia,East Timor,2022-12-06,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-07,1341298,23355.0,0.0,138.0,0.0
Asia,East Timor,2022-12-07,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-08,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-08,1341298,23355.0,0.0,138.0,0.0
Asia,East Timor,2022-12-09,1341298,23355.0,0.0,138.0,0.0
Asia,East Timor,2022-12-09,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-10,1341298,23355.0,0.0,138.0,0.0
Asia,East Timor,2022-12-10,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-11,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-11,1341298,23369.0,14.0,138.0,0.0
Asia,East Timor,2022-12-12,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-12,1341298,23369.0,0.0,138.0,0.0
Asia,East Timor,2022-12-13,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-13,1341298,23369.0,0.0,138.0,0.0
Asia,East Timor,2022-12-14,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-14,1341298,23369.0,0.0,138.0,0.0
Asia,East Timor,2022-12-15,1341298,23369.0,0.0,138.0,0.0
Asia,East Timor,2022-12-15,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-16,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-16,1341298,23369.0,0.0,138.0,0.0
Asia,East Timor,2022-12-17,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-17,1341298,23369.0,0.0,138.0,0.0
Asia,East Timor,2022-12-18,1341298,23385.0,16.0,138.0,0.0
Asia,East Timor,2022-12-18,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-19,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-19,1341298,23385.0,0.0,138.0,0.0
Asia,East Timor,2022-12-20,1341298,23385.0,0.0,138.0,0.0
Asia,East Timor,2022-12-20,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-21,1341298,23385.0,0.0,138.0,0.0
Asia,East Timor,2022-12-21,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-22,1341298,23385.0,0.0,138.0,0.0
Asia,East Timor,2022-12-22,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-23,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-23,1341298,23385.0,0.0,138.0,0.0
Asia,East Timor,2022-12-24,1341298,23385.0,0.0,138.0,0.0
Asia,East Timor,2022-12-24,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-25,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-25,1341298,23388.0,3.0,138.0,0.0
Asia,East Timor,2022-12-26,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-26,1341298,23388.0,0.0,138.0,0.0
Asia,East Timor,2022-12-27,1341298,23388.0,0.0,138.0,0.0
Asia,East Timor,2022-12-27,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-28,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-28,1341298,23388.0,0.0,138.0,0.0
Asia,East Timor,2022-12-29,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-29,1341298,23388.0,0.0,138.0,0.0
Asia,East Timor,2022-12-30,1341298,23388.0,0.0,138.0,0.0
Asia,East Timor,2022-12-30,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-31,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2022-12-31,1341298,23388.0,0.0,138.0,0.0
Asia,East Timor,2023-01-01,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-01,1341298,23397.0,9.0,138.0,0.0
Asia,East Timor,2023-01-02,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-02,1341298,23397.0,0.0,138.0,0.0
Asia,East Timor,2023-01-03,1341298,23397.0,0.0,138.0,0.0
Asia,East Timor,2023-01-03,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-04,1341298,23397.0,0.0,138.0,0.0
Asia,East Timor,2023-01-04,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-05,1341298,23397.0,0.0,138.0,0.0
Asia,East Timor,2023-01-05,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-06,1341298,23397.0,0.0,138.0,0.0
Asia,East Timor,2023-01-06,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-07,1341298,23397.0,0.0,138.0,0.0
Asia,East Timor,2023-01-07,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-08,1341298,23403.0,6.0,138.0,0.0
Asia,East Timor,2023-01-08,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-09,1341298,23403.0,0.0,138.0,0.0
Asia,East Timor,2023-01-09,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-10,1341298,23403.0,0.0,138.0,0.0
Asia,East Timor,2023-01-10,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-11,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-11,1341298,23403.0,0.0,138.0,0.0
Asia,East Timor,2023-01-12,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-12,1341298,23403.0,0.0,138.0,0.0
Asia,East Timor,2023-01-13,1341298,23403.0,0.0,138.0,0.0
Asia,East Timor,2023-01-13,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-14,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-14,1341298,23403.0,0.0,138.0,0.0
Asia,East Timor,2023-01-15,1341298,23405.0,2.0,138.0,0.0
Asia,East Timor,2023-01-15,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-16,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-16,1341298,23405.0,0.0,138.0,0.0
Asia,East Timor,2023-01-17,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-17,1341298,23405.0,0.0,138.0,0.0
Asia,East Timor,2023-01-18,1341298,23405.0,0.0,138.0,0.0
Asia,East Timor,2023-01-18,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-19,1341298,23405.0,0.0,138.0,0.0
Asia,East Timor,2023-01-19,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-20,1341298,23405.0,0.0,138.0,0.0
Asia,East Timor,2023-01-20,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-21,1341298,23405.0,0.0,138.0,0.0
Asia,East Timor,2023-01-21,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-22,1341298,23410.0,5.0,138.0,0.0
Asia,East Timor,2023-01-22,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-23,1341298,23410.0,0.0,138.0,0.0
Asia,East Timor,2023-01-23,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-24,1341298,23410.0,0.0,138.0,0.0
Asia,East Timor,2023-01-24,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-25,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-25,1341298,23410.0,0.0,138.0,0.0
Asia,East Timor,2023-01-26,1341298,23410.0,0.0,138.0,0.0
Asia,East Timor,2023-01-26,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-27,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-27,1341298,23410.0,0.0,138.0,0.0
Asia,East Timor,2023-01-28,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-28,1341298,23410.0,0.0,138.0,0.0
Asia,East Timor,2023-01-29,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-29,1341298,23414.0,4.0,138.0,0.0
Asia,East Timor,2023-01-30,1341298,23414.0,0.0,138.0,0.0
Asia,East Timor,2023-01-30,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-01-31,1341298,23414.0,0.0,138.0,0.0
Asia,East Timor,2023-01-31,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-01,1341298,23414.0,0.0,138.0,0.0
Asia,East Timor,2023-02-01,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-02,1341298,23414.0,0.0,138.0,0.0
Asia,East Timor,2023-02-02,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-03,1341298,23414.0,0.0,138.0,0.0
Asia,East Timor,2023-02-03,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-04,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-04,1341298,23414.0,0.0,138.0,0.0
Asia,East Timor,2023-02-05,1341298,23416.0,2.0,138.0,0.0
Asia,East Timor,2023-02-05,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-06,1341298,23416.0,0.0,138.0,0.0
Asia,East Timor,2023-02-06,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-07,1341298,23416.0,0.0,138.0,0.0
Asia,East Timor,2023-02-07,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-08,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-08,1341298,23416.0,0.0,138.0,0.0
Asia,East Timor,2023-02-09,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-09,1341298,23416.0,0.0,138.0,0.0
Asia,East Timor,2023-02-10,1341298,23416.0,0.0,138.0,0.0
Asia,East Timor,2023-02-10,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-11,1341298,23416.0,0.0,138.0,0.0
Asia,East Timor,2023-02-11,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-12,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-12,1341298,23417.0,1.0,138.0,0.0
Asia,East Timor,2023-02-13,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-13,1341298,23417.0,0.0,138.0,0.0
Asia,East Timor,2023-02-14,1341298,23417.0,0.0,138.0,0.0
Asia,East Timor,2023-02-14,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-15,1341298,23417.0,0.0,138.0,0.0
Asia,East Timor,2023-02-15,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-16,1341298,23417.0,0.0,138.0,0.0
Asia,East Timor,2023-02-16,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-17,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-17,1341298,23417.0,0.0,138.0,0.0
Asia,East Timor,2023-02-18,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-18,1341298,23417.0,0.0,138.0,0.0
Asia,East Timor,2023-02-19,1341298,23418.0,1.0,138.0,0.0
Asia,East Timor,2023-02-19,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-20,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-20,1341298,23418.0,0.0,138.0,0.0
Asia,East Timor,2023-02-21,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-21,1341298,23418.0,0.0,138.0,0.0
Asia,East Timor,2023-02-22,1341298,23418.0,0.0,138.0,0.0
Asia,East Timor,2023-02-22,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-23,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-23,1341298,23418.0,0.0,138.0,0.0
Asia,East Timor,2023-02-24,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-24,1341298,23418.0,0.0,138.0,0.0
Asia,East Timor,2023-02-25,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-25,1341298,23418.0,0.0,138.0,0.0
Asia,East Timor,2023-02-26,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-26,1341298,23418.0,0.0,138.0,0.0
Asia,East Timor,2023-02-27,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-27,1341298,23418.0,0.0,138.0,0.0
Asia,East Timor,2023-02-28,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-02-28,1341298,23418.0,0.0,138.0,0.0
Asia,East Timor,2023-03-01,1341298,23418.0,0.0,138.0,0.0
Asia,East Timor,2023-03-01,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-03-02,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-03-02,1341298,23418.0,0.0,138.0,0.0
Asia,East Timor,2023-03-03,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-03-03,1341298,23418.0,0.0,138.0,0.0
Asia,East Timor,2023-03-04,1341298,23418.0,0.0,138.0,0.0
Asia,East Timor,2023-03-04,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-03-05,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-03-05,1341298,23419.0,1.0,138.0,0.0
Asia,East Timor,2023-03-06,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-03-06,1341298,23419.0,0.0,138.0,0.0
Asia,East Timor,2023-03-07,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-03-07,1341298,23419.0,0.0,138.0,0.0
Asia,East Timor,2023-03-08,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-03-08,1341298,23419.0,0.0,138.0,0.0
Asia,East Timor,2023-03-09,1341298,23419.0,0.0,138.0,0.0
Asia,East Timor,2023-03-09,1341298,0.0,0.0,0.0,0.0
Asia,East Timor,2023-03-10,1341298,0.0,0.0,0.0,0.0
