continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Isle of Man,2023-01-21,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-01-22,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-01-23,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-01-24,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-01-25,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-01-26,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-01-27,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-01-28,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-01-29,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-01-30,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-01-31,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-01,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-02,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-03,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-04,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-05,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-06,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-07,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-08,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-09,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-10,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-11,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-12,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-13,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-14,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-15,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-16,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-17,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-18,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-19,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-20,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-21,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-22,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-23,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-24,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-25,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-26,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-27,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-02-28,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-01,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-02,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-03,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-04,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-05,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-06,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-07,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-08,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-09,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-10,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-11,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-12,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-13,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-14,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-15,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-16,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-17,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-18,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-19,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-20,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-21,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-22,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-23,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-24,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-25,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-26,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-27,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-28,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-29,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-30,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-03-31,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-01,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-02,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-03,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-04,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-05,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-06,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-07,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-08,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-09,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-10,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-11,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-12,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-13,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-14,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-15,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-16,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-17,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-18,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-19,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-20,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-21,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-22,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-23,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-24,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-25,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-26,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-27,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-28,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-29,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-04-30,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-01,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-02,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-03,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-04,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-05,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-06,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-07,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-08,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-09,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-10,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-11,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-12,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-13,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-14,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-15,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-16,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-17,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-18,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-19,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-20,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-21,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-22,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-23,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-24,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-25,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-26,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-27,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-28,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-29,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-30,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-05-31,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-01,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-02,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-03,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-04,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-05,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-06,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-07,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-08,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-09,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-10,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-11,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-12,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-13,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-14,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-15,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-16,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-17,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-18,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-19,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-20,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-21,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-22,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-23,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-24,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-25,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-26,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-27,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-28,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-29,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-06-30,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-01,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-02,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-03,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-04,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-05,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-06,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-07,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-08,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-09,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-10,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-11,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-12,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-13,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-14,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-15,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-16,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-17,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-18,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-19,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-20,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-21,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-22,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-23,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-24,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-25,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-26,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-27,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-28,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-29,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-30,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-07-31,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-01,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-02,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-03,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-04,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-05,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-06,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-07,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-08,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-09,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-10,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-11,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-12,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-13,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-14,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-15,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-16,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-17,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-18,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-19,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-20,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-21,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-22,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-23,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-24,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-25,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-26,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-27,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-28,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-29,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-30,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-08-31,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-01,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-02,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-03,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-04,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-05,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-06,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-07,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-08,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-09,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-10,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-11,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-12,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-13,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-14,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-15,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-16,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-17,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-18,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-19,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-20,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-21,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-22,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-23,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-24,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-25,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-26,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-27,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-28,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-29,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-09-30,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-01,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-02,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-03,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-04,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-05,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-06,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-07,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-08,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-09,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-10,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-11,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-12,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-13,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-14,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-15,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-16,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-17,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-18,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-19,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-20,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-21,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-22,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-23,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-24,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-25,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-26,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-27,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-28,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-29,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-30,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-10-31,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-01,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-02,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-03,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-04,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-05,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-06,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-07,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-08,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-09,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-10,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-11,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-12,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-13,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-14,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-15,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-16,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-17,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-18,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-19,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-20,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-21,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-22,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-23,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-24,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-25,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-26,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-27,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-28,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-29,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-11-30,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-01,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-02,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-03,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-04,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-05,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-06,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-07,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-08,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-09,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-10,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-11,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-12,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-13,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-14,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-15,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-16,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-17,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-18,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-19,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-20,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-21,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-22,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-23,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-24,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-25,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-26,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-27,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-28,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-29,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-30,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2023-12-31,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-01,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-02,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-03,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-04,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-05,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-06,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-07,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-08,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-09,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-10,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-11,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-12,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-13,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-14,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-15,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-16,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-17,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-18,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-19,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-20,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-21,84534,38008.0,0.0,116.0,0.0
Europe,Isle of Man,2024-01-22,84534,38008.0,0.0,116.0,0.0
