continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Africa,Lesotho,2022-01-14,2305826,31174.0,0.0,683.0,0.0
Africa,Lesotho,2022-01-15,2305826,31174.0,0.0,683.0,0.0
Africa,Lesotho,2022-01-16,2305826,31844.0,670.0,687.0,4.0
Africa,Lesotho,2022-01-17,2305826,31844.0,0.0,687.0,0.0
Africa,Lesotho,2022-01-18,2305826,31844.0,0.0,687.0,0.0
Africa,Lesotho,2022-01-19,2305826,31844.0,0.0,687.0,0.0
Africa,Lesotho,2022-01-20,2305826,31844.0,0.0,687.0,0.0
Africa,Lesotho,2022-01-21,2305826,31844.0,0.0,687.0,0.0
Africa,Lesotho,2022-01-22,2305826,31844.0,0.0,687.0,0.0
Africa,Lesotho,2022-01-23,2305826,32049.0,205.0,690.0,3.0
Africa,Lesotho,2022-01-24,2305826,32049.0,0.0,690.0,0.0
Africa,Lesotho,2022-01-25,2305826,32049.0,0.0,690.0,0.0
Africa,Lesotho,2022-01-26,2305826,32049.0,0.0,690.0,0.0
Africa,Lesotho,2022-01-27,2305826,32049.0,0.0,690.0,0.0
Africa,Lesotho,2022-01-28,2305826,32049.0,0.0,690.0,0.0
Africa,Lesotho,2022-01-29,2305826,32049.0,0.0,690.0,0.0
Africa,Lesotho,2022-01-30,2305826,32247.0,198.0,693.0,3.0
Africa,Lesotho,2022-01-31,2305826,32247.0,0.0,693.0,0.0
Africa,Lesotho,2022-02-01,2305826,32247.0,0.0,693.0,0.0
Africa,Lesotho,2022-02-02,2305826,32247.0,0.0,693.0,0.0
Africa,Lesotho,2022-02-03,2305826,32247.0,0.0,693.0,0.0
Africa,Lesotho,2022-02-04,2305826,32247.0,0.0,693.0,0.0
Africa,Lesotho,2022-02-05,2305826,32247.0,0.0,693.0,0.0
Africa,Lesotho,2022-02-06,2305826,32361.0,114.0,695.0,2.0
Africa,Lesotho,2022-02-07,2305826,32361.0,0.0,695.0,0.0
Africa,Lesotho,2022-02-08,2305826,32361.0,0.0,695.0,0.0
Africa,Lesotho,2022-02-09,2305826,32361.0,0.0,695.0,0.0
Africa,Lesotho,2022-02-10,2305826,32361.0,0.0,695.0,0.0
Africa,Lesotho,2022-02-11,2305826,32361.0,0.0,695.0,0.0
Africa,Lesotho,2022-02-12,2305826,32361.0,0.0,695.0,0.0
Africa,Lesotho,2022-02-13,2305826,32431.0,70.0,696.0,1.0
Africa,Lesotho,2022-02-14,2305826,32431.0,0.0,696.0,0.0
Africa,Lesotho,2022-02-15,2305826,32431.0,0.0,696.0,0.0
Africa,Lesotho,2022-02-16,2305826,32431.0,0.0,696.0,0.0
Africa,Lesotho,2022-02-17,2305826,32431.0,0.0,696.0,0.0
Africa,Lesotho,2022-02-18,2305826,32431.0,0.0,696.0,0.0
Africa,Lesotho,2022-02-19,2305826,32431.0,0.0,696.0,0.0
Africa,Lesotho,2022-02-20,2305826,32599.0,168.0,696.0,0.0
Africa,Lesotho,2022-02-21,2305826,32599.0,0.0,696.0,0.0
Africa,Lesotho,2022-02-22,2305826,32599.0,0.0,696.0,0.0
Africa,Lesotho,2022-02-23,2305826,32599.0,0.0,696.0,0.0
Africa,Lesotho,2022-02-24,2305826,32599.0,0.0,696.0,0.0
Africa,Lesotho,2022-02-25,2305826,32599.0,0.0,696.0,0.0
Africa,Lesotho,2022-02-26,2305826,32599.0,0.0,696.0,0.0
Africa,Lesotho,2022-02-27,2305826,32695.0,96.0,697.0,1.0
Africa,Lesotho,2022-02-28,2305826,32695.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-01,2305826,32695.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-02,2305826,32695.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-03,2305826,32695.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-04,2305826,32695.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-05,2305826,32695.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-06,2305826,32716.0,21.0,697.0,0.0
Africa,Lesotho,2022-03-07,2305826,32716.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-08,2305826,32716.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-09,2305826,32716.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-10,2305826,32716.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-11,2305826,32716.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-12,2305826,32716.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-13,2305826,32775.0,59.0,697.0,0.0
Africa,Lesotho,2022-03-14,2305826,32775.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-15,2305826,32775.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-16,2305826,32775.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-17,2305826,32775.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-18,2305826,32775.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-19,2305826,32775.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-20,2305826,32879.0,104.0,697.0,0.0
Africa,Lesotho,2022-03-21,2305826,32879.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-22,2305826,32879.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-23,2305826,32879.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-24,2305826,32879.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-25,2305826,32879.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-26,2305826,32879.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-27,2305826,32895.0,16.0,697.0,0.0
Africa,Lesotho,2022-03-28,2305826,32895.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-29,2305826,32895.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-30,2305826,32895.0,0.0,697.0,0.0
Africa,Lesotho,2022-03-31,2305826,32895.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-01,2305826,32895.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-02,2305826,32895.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-03,2305826,32910.0,15.0,697.0,0.0
Africa,Lesotho,2022-04-04,2305826,32910.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-05,2305826,32910.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-06,2305826,32910.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-07,2305826,32910.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-08,2305826,32910.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-09,2305826,32910.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-10,2305826,32968.0,58.0,697.0,0.0
Africa,Lesotho,2022-04-11,2305826,32968.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-12,2305826,32968.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-13,2305826,32968.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-14,2305826,32968.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-15,2305826,32968.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-16,2305826,32968.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-17,2305826,33010.0,42.0,697.0,0.0
Africa,Lesotho,2022-04-18,2305826,33010.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-19,2305826,33010.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-20,2305826,33010.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-21,2305826,33010.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-22,2305826,33010.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-23,2305826,33010.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-24,2305826,33113.0,103.0,697.0,0.0
Africa,Lesotho,2022-04-25,2305826,33113.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-26,2305826,33113.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-27,2305826,33113.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-28,2305826,33113.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-29,2305826,33113.0,0.0,697.0,0.0
Africa,Lesotho,2022-04-30,2305826,33113.0,0.0,697.0,0.0
Africa,Lesotho,2022-05-01,2305826,33137.0,24.0,697.0,0.0
Africa,Lesotho,2022-05-02,2305826,33137.0,0.0,697.0,0.0
Africa,Lesotho,2022-05-03,2305826,33137.0,0.0,697.0,0.0
Africa,Lesotho,2022-05-04,2305826,33137.0,0.0,697.0,0.0
Africa,Lesotho,2022-05-05,2305826,33137.0,0.0,697.0,0.0
Africa,Lesotho,2022-05-06,2305826,33137.0,0.0,697.0,0.0
Africa,Lesotho,2022-05-07,2305826,33137.0,0.0,697.0,0.0
Africa,Lesotho,2022-05-08,2305826,33193.0,56.0,698.0,1.0
Africa,Lesotho,2022-05-09,2305826,33193.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-10,2305826,33193.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-11,2305826,33193.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-12,2305826,33193.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-13,2305826,33193.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-14,2305826,33193.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-15,2305826,33282.0,89.0,698.0,0.0
Africa,Lesotho,2022-05-16,2305826,33282.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-17,2305826,33282.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-18,2305826,33282.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-19,2305826,33282.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-20,2305826,33282.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-21,2305826,33282.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-22,2305826,33370.0,88.0,698.0,0.0
Africa,Lesotho,2022-05-23,2305826,33370.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-24,2305826,33370.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-25,2305826,33370.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-26,2305826,33370.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-27,2305826,33370.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-28,2305826,33370.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-29,2305826,33486.0,116.0,698.0,0.0
Africa,Lesotho,2022-05-30,2305826,33486.0,0.0,698.0,0.0
Africa,Lesotho,2022-05-31,2305826,33486.0,0.0,698.0,0.0
Africa,Lesotho,2022-06-01,2305826,33486.0,0.0,698.0,0.0
Africa,Lesotho,2022-06-02,2305826,33486.0,0.0,698.0,0.0
Africa,Lesotho,2022-06-03,2305826,33486.0,0.0,698.0,0.0
Africa,Lesotho,2022-06-04,2305826,33486.0,0.0,698.0,0.0
Africa,Lesotho,2022-06-05,2305826,33659.0,173.0,699.0,1.0
Africa,Lesotho,2022-06-06,2305826,33659.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-07,2305826,33659.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-08,2305826,33659.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-09,2305826,33659.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-10,2305826,33659.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-11,2305826,33659.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-12,2305826,33871.0,212.0,699.0,0.0
Africa,Lesotho,2022-06-13,2305826,33871.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-14,2305826,33871.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-15,2305826,33871.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-16,2305826,33871.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-17,2305826,33871.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-18,2305826,33871.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-19,2305826,33938.0,67.0,699.0,0.0
Africa,Lesotho,2022-06-20,2305826,33938.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-21,2305826,33938.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-22,2305826,33938.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-23,2305826,33938.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-24,2305826,33938.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-25,2305826,33938.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-26,2305826,33938.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-27,2305826,33938.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-28,2305826,33938.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-29,2305826,33938.0,0.0,699.0,0.0
Africa,Lesotho,2022-06-30,2305826,33938.0,0.0,699.0,0.0
Africa,Lesotho,2022-07-01,2305826,33938.0,0.0,699.0,0.0
Africa,Lesotho,2022-07-02,2305826,33938.0,0.0,699.0,0.0
Africa,Lesotho,2022-07-03,2305826,34094.0,156.0,701.0,2.0
Africa,Lesotho,2022-07-04,2305826,34094.0,0.0,701.0,0.0
Africa,Lesotho,2022-07-05,2305826,34094.0,0.0,701.0,0.0
Africa,Lesotho,2022-07-06,2305826,34094.0,0.0,701.0,0.0
Africa,Lesotho,2022-07-07,2305826,34094.0,0.0,701.0,0.0
Africa,Lesotho,2022-07-08,2305826,34094.0,0.0,701.0,0.0
Africa,Lesotho,2022-07-09,2305826,34094.0,0.0,701.0,0.0
Africa,Lesotho,2022-07-10,2305826,34133.0,39.0,702.0,1.0
Africa,Lesotho,2022-07-11,2305826,34133.0,0.0,702.0,0.0
Africa,Lesotho,2022-07-12,2305826,34133.0,0.0,702.0,0.0
Africa,Lesotho,2022-07-13,2305826,34133.0,0.0,702.0,0.0
Africa,Lesotho,2022-07-14,2305826,34133.0,0.0,702.0,0.0
Africa,Lesotho,2022-07-15,2305826,34133.0,0.0,702.0,0.0
Africa,Lesotho,2022-07-16,2305826,34133.0,0.0,702.0,0.0
Africa,Lesotho,2022-07-17,2305826,34174.0,41.0,702.0,0.0
Africa,Lesotho,2022-07-18,2305826,34174.0,0.0,702.0,0.0
Africa,Lesotho,2022-07-19,2305826,34174.0,0.0,702.0,0.0
Africa,Lesotho,2022-07-20,2305826,34174.0,0.0,702.0,0.0
Africa,Lesotho,2022-07-21,2305826,34174.0,0.0,702.0,0.0
Africa,Lesotho,2022-07-22,2305826,34174.0,0.0,702.0,0.0
Africa,Lesotho,2022-07-23,2305826,34174.0,0.0,702.0,0.0
Africa,Lesotho,2022-07-24,2305826,34221.0,47.0,704.0,2.0
Africa,Lesotho,2022-07-25,2305826,34221.0,0.0,704.0,0.0
Africa,Lesotho,2022-07-26,2305826,34221.0,0.0,704.0,0.0
Africa,Lesotho,2022-07-27,2305826,34221.0,0.0,704.0,0.0
Africa,Lesotho,2022-07-28,2305826,34221.0,0.0,704.0,0.0
Africa,Lesotho,2022-07-29,2305826,34221.0,0.0,704.0,0.0
Africa,Lesotho,2022-07-30,2305826,34221.0,0.0,704.0,0.0
Africa,Lesotho,2022-07-31,2305826,34234.0,13.0,704.0,0.0
Africa,Lesotho,2022-08-01,2305826,34234.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-02,2305826,34234.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-03,2305826,34234.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-04,2305826,34234.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-05,2305826,34234.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-06,2305826,34234.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-07,2305826,34245.0,11.0,704.0,0.0
Africa,Lesotho,2022-08-08,2305826,34245.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-09,2305826,34245.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-10,2305826,34245.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-11,2305826,34245.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-12,2305826,34245.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-13,2305826,34245.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-14,2305826,34251.0,6.0,704.0,0.0
Africa,Lesotho,2022-08-15,2305826,34251.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-16,2305826,34251.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-17,2305826,34251.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-18,2305826,34251.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-19,2305826,34251.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-20,2305826,34251.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-21,2305826,34298.0,47.0,704.0,0.0
Africa,Lesotho,2022-08-22,2305826,34298.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-23,2305826,34298.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-24,2305826,34298.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-25,2305826,34298.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-26,2305826,34298.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-27,2305826,34298.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-28,2305826,34409.0,111.0,704.0,0.0
Africa,Lesotho,2022-08-29,2305826,34409.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-30,2305826,34409.0,0.0,704.0,0.0
Africa,Lesotho,2022-08-31,2305826,34409.0,0.0,704.0,0.0
Africa,Lesotho,2022-09-01,2305826,34409.0,0.0,704.0,0.0
Africa,Lesotho,2022-09-02,2305826,34409.0,0.0,704.0,0.0
Africa,Lesotho,2022-09-03,2305826,34409.0,0.0,704.0,0.0
Africa,Lesotho,2022-09-04,2305826,34457.0,48.0,705.0,1.0
Africa,Lesotho,2022-09-05,2305826,34457.0,0.0,705.0,0.0
Africa,Lesotho,2022-09-06,2305826,34457.0,0.0,705.0,0.0
Africa,Lesotho,2022-09-07,2305826,34457.0,0.0,705.0,0.0
Africa,Lesotho,2022-09-08,2305826,34457.0,0.0,705.0,0.0
Africa,Lesotho,2022-09-09,2305826,34457.0,0.0,705.0,0.0
Africa,Lesotho,2022-09-10,2305826,34457.0,0.0,705.0,0.0
Africa,Lesotho,2022-09-11,2305826,34490.0,33.0,706.0,1.0
Africa,Lesotho,2022-09-12,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-13,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-14,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-15,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-16,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-17,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-18,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-19,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-20,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-21,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-22,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-23,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-24,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-25,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-26,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-27,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-28,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-29,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-09-30,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-01,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-02,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-03,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-04,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-05,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-06,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-07,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-08,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-09,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-10,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-11,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-12,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-13,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-14,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-15,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-16,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-17,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-18,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-19,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-20,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-21,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-22,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-23,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-24,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-25,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-26,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-27,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-28,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-29,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-30,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-10-31,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-01,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-02,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-03,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-04,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-05,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-06,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-07,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-08,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-09,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-10,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-11,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-12,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-13,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-14,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-15,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-16,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-17,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-18,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-19,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-20,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-21,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-22,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-23,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-24,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-25,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-26,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-27,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-28,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-29,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-11-30,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-01,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-02,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-03,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-04,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-05,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-06,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-07,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-08,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-09,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-10,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-11,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-12,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-13,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-14,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-15,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-16,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-17,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-18,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-19,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-20,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-21,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-22,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-23,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-24,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-25,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-26,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-27,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-28,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-29,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-30,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2022-12-31,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-01,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-02,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-03,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-04,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-05,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-06,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-07,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-08,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-09,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-10,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-11,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-12,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-13,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-14,2305826,34490.0,0.0,706.0,0.0
Africa,Lesotho,2023-01-15,2305826,34490.0,0.0,706.0,0.0
